html_url,path,commit_sha,line_no,pattern,priority,feedback,note,good/bad,,
https://github.com/natalia171/praca_inz/pull/1,android_studio_project/praca_inz_03/app/src/main/java/com/example/praca_inz_03/DodajNowyTerminLekarz.java,1308cebd5abe9b9bd0704550ebd2546fe8928bb9,122,NM_METHOD_NAMING_CONVENTION,2,,,,,
https://github.com/natalia171/praca_inz/pull/1,android_studio_project/praca_inz_03/app/src/main/java/com/example/praca_inz_03/MainActivity.java,1308cebd5abe9b9bd0704550ebd2546fe8928bb9,58,ES_COMPARING_STRINGS_WITH_EQ,2,,,,,
https://github.com/natalia171/praca_inz/pull/1,android_studio_project/praca_inz_03/app/src/main/java/com/example/praca_inz_03/bgAnulujTermin.java,1308cebd5abe9b9bd0704550ebd2546fe8928bb9,25,NM_CLASS_NAMING_CONVENTION,2,,,,,
https://github.com/WrenchDressing/UltimateGoal/pull/5,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,879,ES_COMPARING_STRINGS_WITH_EQ,2,,,,,
https://github.com/WrenchDressing/UltimateGoal/pull/5,TeamCode/src/main/java/org/firstinspires/ftc/teamcode/BestSTATEAutoEver.java,90e3fbdaa1a2ec540ad7caaa6d0a88999d2dfe04,379,NM_METHOD_NAMING_CONVENTION,3,,,,,
https://github.com/atp-mipt/ljv/pull/31,ljv/src/main/java/org/atpfivt/ljv/GraphBuilder.java,d75cc45dc0fb0bace01035a4d73bfbc3749be5ba,301,RC_REF_COMPARISON_BAD_PRACTICE_BOOLEAN,2,"Yes, you are right. I overlooked it now it's corrected. let me know your thoughts",fix,Accept and fix,,
https://github.com/mak-works/pav-traning/pull/6,app/src/main/java/com/learning/androidlearning/movemarker/NotificationActivity.java,006996b37ab3eea332b98ab3e2f46a74dcd9b895,96,NM_METHOD_NAMING_CONVENTION,3,,delete,,,
https://github.com/mak-works/pav-traning/pull/6,app/src/main/java/com/learning/androidlearning/movemarker/roomdbnew/DateTypeConverter.java,006996b37ab3eea332b98ab3e2f46a74dcd9b895,22,STCAL_STATIC_SIMPLE_DATE_FORMAT_INSTANCE,2,,delete,,,
https://github.com/aNNiMON/Lightweight-Stream-API/pull/190,stream/src/test/java/com/annimon/stream/internal/SpinedBufferTest.java,a9f959be57a872d0f5354dff9218ed5acedd9869,402,BSHIFT_WRONG_ADD_PRIORITY,3,"1 << (m+4) was intended. For MIN_CHUNK_POWER = 4, count should be 2048.",,Accept,,
https://github.com/GitHubNJUPT528/ctontcm/pull/6,MatchAndPlan/src/transferCenterRoutePlanning/Util/LatLng.java,59703b589f3bfcb160d825be248a3d61d1f6dcfb,29,DM_STRING_CTOR,2,,,,,
